Model,Accuracy,Precision,Recall,F1-score,AUC
XGBoost,0.9111111111111111,0.9116666666666668,0.9111111111111111,0.9109341297494609,0.9439484126984127
Logistic Regression,0.8444444444444444,0.8462887989203779,0.8444444444444444,0.8436666666666668,0.9439484126984127
Random Forest,0.8555555555555555,0.8565108094519859,0.8555555555555555,0.8550692106247662,0.9320436507936508
Extra Trees,0.8111111111111111,0.816969696969697,0.8111111111111111,0.8089438070020593,0.9119543650793651
